Unnamed: 0,Stock,Date,neg,neu,pos,compound,index
0,BAC,2023-10-01,0.0485,0.833,0.119,0.9958,
1,BAC,2023-10-02,0.0485,0.833,0.119,0.9958,
2,BAC,2023-10-03,0.02,0.873,0.107,0.9932,
3,BAC,2023-10-04,0.02,0.873,0.107,0.9932,
4,BAC,2023-10-05,0.1065,0.81,0.0835,-0.3283,
5,BAC,2023-10-06,0.1065,0.81,0.0835,-0.3283,
6,BAC,2023-10-07,0.0465,0.826,0.1275,0.8044,
7,BAC,2023-10-08,0.0715,0.8555,0.073,-0.1666,
8,BAC,2023-10-09,0.0245,0.84,0.135,0.9978,
9,BAC,2023-10-10,0.0265,0.8715,0.101,0.9943,
10,BAC,2023-10-11,0.023,0.8735,0.103,0.9921,
11,BAC,2023-10-12,0.042,0.8205,0.138,0.9952,
12,BAC,2023-10-13,0.043,0.8715,0.086,0.9206,
13,BAC,2023-10-14,0.0445,0.889,0.0665,0.9137,
14,BAC,2023-10-15,0.041,0.833,0.126,0.991,
15,BAC,2023-10-16,0.023,0.8825,0.0955,0.9866,
16,BAC,2023-10-17,0.023,0.8825,0.0955,0.9866,
17,BAC,2023-10-18,0.0385,0.8455,0.1155,0.9911,
18,BAC,2023-10-19,0.0345,0.876,0.0895,0.1804,
19,BAC,2023-10-20,0.0315,0.8695,0.099,0.977,
20,BAC,2023-10-21,0.0315,0.885,0.0835,0.9777,
21,BAC,2023-10-22,0.029,0.8785,0.093,0.6241,
22,BAC,2023-10-23,0.0275,0.8515,0.1215,0.9979,
23,BAC,2023-10-24,0.0515,0.827,0.122,0.9858,
24,BAC,2023-10-25,0.0515,0.8555,0.093,0.9647,
25,BAC,2023-10-26,0.054,0.8985,0.048,0.0154,
26,BAC,2023-10-27,0.064,0.9005,0.036,-0.7257,
27,BAC,2023-10-28,0.0575,0.7785,0.164,0.996,
28,BAC,2023-10-29,0.0235,0.792,0.1845,0.9635,
29,BAC,2023-10-30,0.021,0.948,0.031,0.1779,
30,BAC,2023-10-31,0.0105,0.474,0.0155,0.089,
31,MA,2023-10-01,0.081,0.755,0.164,0.9873,
32,MA,2023-10-02,0.004,0.85,0.145,0.9988,
33,MA,2023-10-03,0.0075,0.864,0.128,0.9967,
34,MA,2023-10-04,0.011,0.878,0.111,0.9945,
35,MA,2023-10-05,0.009,0.834,0.157,0.9962,
36,MA,2023-10-06,0.009,0.834,0.157,0.9962,
37,MA,2023-10-07,0.0,0.934,0.066,0.9804,
38,MA,2023-10-09,0.066,0.849,0.085,-0.014,
39,MA,2023-10-10,0.066,0.849,0.085,-0.014,
40,MA,2023-10-11,0.005,0.893,0.102,0.9744,
41,MA,2023-10-12,0.02,0.8705,0.1095,0.984,
42,MA,2023-10-13,0.04,0.8475,0.1125,0.9869,
43,MA,2023-10-15,0.0,0.903,0.097,0.9972,
44,MA,2023-10-16,0.038,0.887,0.0745,0.3975,
45,MA,2023-10-17,0.055,0.8865,0.058,0.3241,
46,MA,2023-10-18,0.039,0.8395,0.1215,0.9934,
47,MA,2023-10-19,0.018,0.878,0.104,0.9917,
48,MA,2023-10-20,0.023,0.825,0.152,0.9966,
49,MA,2023-10-22,0.02,0.928,0.053,0.6077,
50,MA,2023-10-23,0.02,0.928,0.053,0.6077,
51,MA,2023-10-25,0.017,0.8895,0.093,0.9804,
52,MA,2023-10-26,0.017,0.8895,0.093,0.9804,
53,MA,2023-10-27,0.024,0.813,0.164,0.9999,
54,MA,2023-10-28,0.024,0.813,0.164,0.9999,
55,MA,2023-10-29,0.002,0.7555,0.242,0.9982,
56,MA,2023-10-30,0.002,0.7555,0.242,0.9982,
57,MA,2023-10-31,0.007,0.879,0.114,0.9953,
0,BAC,2023-10-01,0.0485,0.833,0.119,0.9958,0.0
1,BAC,2023-10-02,0.0485,0.833,0.119,0.9958,1.0
2,BAC,2023-10-03,0.02,0.873,0.107,0.9932,2.0
3,BAC,2023-10-04,0.02,0.873,0.107,0.9932,3.0
4,BAC,2023-10-05,0.1065,0.81,0.0835,-0.3283,4.0
5,BAC,2023-10-06,0.1065,0.81,0.0835,-0.3283,5.0
6,BAC,2023-10-07,0.0465,0.826,0.1275,0.8044,6.0
7,BAC,2023-10-08,0.0715,0.8555,0.073,-0.1666,7.0
8,BAC,2023-10-09,0.0245,0.84,0.135,0.9978,8.0
9,BAC,2023-10-10,0.0265,0.8715,0.101,0.9943,9.0
10,BAC,2023-10-11,0.023,0.8735,0.103,0.9921,10.0
11,BAC,2023-10-12,0.042,0.8205,0.138,0.9952,11.0
12,BAC,2023-10-13,0.043,0.8715,0.086,0.9206,12.0
13,BAC,2023-10-14,0.0445,0.889,0.0665,0.9137,13.0
14,BAC,2023-10-15,0.041,0.833,0.126,0.991,14.0
15,BAC,2023-10-16,0.023,0.8825,0.0955,0.9866,15.0
16,BAC,2023-10-17,0.023,0.8825,0.0955,0.9866,16.0
17,BAC,2023-10-18,0.0385,0.8455,0.1155,0.9911,17.0
18,BAC,2023-10-19,0.0345,0.876,0.0895,0.1804,18.0
19,BAC,2023-10-20,0.0315,0.8695,0.099,0.977,19.0
20,BAC,2023-10-21,0.0315,0.885,0.0835,0.9777,20.0
21,BAC,2023-10-22,0.029,0.8785,0.093,0.6241,21.0
22,BAC,2023-10-23,0.0275,0.8515,0.1215,0.9979,22.0
23,BAC,2023-10-24,0.0515,0.827,0.122,0.9858,23.0
24,BAC,2023-10-25,0.0515,0.8555,0.093,0.9647,24.0
25,BAC,2023-10-26,0.054,0.8985,0.048,0.0154,25.0
26,BAC,2023-10-27,0.064,0.9005,0.036,-0.7257,26.0
27,BAC,2023-10-28,0.0575,0.7785,0.164,0.996,27.0
28,BAC,2023-10-29,0.0235,0.792,0.1845,0.9635,28.0
29,BAC,2023-10-30,0.021,0.948,0.031,0.1779,29.0
30,BAC,2023-10-31,0.0105,0.474,0.0155,0.089,30.0
31,MA,2023-10-01,0.081,0.755,0.164,0.9873,31.0
32,MA,2023-10-02,0.004,0.85,0.145,0.9988,32.0
33,MA,2023-10-03,0.0075,0.864,0.128,0.9967,33.0
34,MA,2023-10-04,0.011,0.878,0.111,0.9945,34.0
35,MA,2023-10-05,0.009,0.834,0.157,0.9962,35.0
36,MA,2023-10-06,0.009,0.834,0.157,0.9962,36.0
37,MA,2023-10-07,0.0,0.934,0.066,0.9804,37.0
38,MA,2023-10-09,0.066,0.849,0.085,-0.014,38.0
39,MA,2023-10-10,0.066,0.849,0.085,-0.014,39.0
40,MA,2023-10-11,0.005,0.893,0.102,0.9744,40.0
41,MA,2023-10-12,0.02,0.8705,0.1095,0.984,41.0
42,MA,2023-10-13,0.04,0.8475,0.1125,0.9869,42.0
43,MA,2023-10-15,0.0,0.903,0.097,0.9972,43.0
44,MA,2023-10-16,0.038,0.887,0.0745,0.3975,44.0
45,MA,2023-10-17,0.055,0.8865,0.058,0.3241,45.0
46,MA,2023-10-18,0.039,0.8395,0.1215,0.9934,46.0
47,MA,2023-10-19,0.018,0.878,0.104,0.9917,47.0
48,MA,2023-10-20,0.023,0.825,0.152,0.9966,48.0
49,MA,2023-10-22,0.02,0.928,0.053,0.6077,49.0
50,MA,2023-10-23,0.02,0.928,0.053,0.6077,50.0
51,MA,2023-10-25,0.017,0.8895,0.093,0.9804,51.0
52,MA,2023-10-26,0.017,0.8895,0.093,0.9804,52.0
53,MA,2023-10-27,0.024,0.813,0.164,0.9999,53.0
54,MA,2023-10-28,0.024,0.813,0.164,0.9999,54.0
55,MA,2023-10-29,0.002,0.7555,0.242,0.9982,55.0
56,MA,2023-10-30,0.002,0.7555,0.242,0.9982,56.0
57,MA,2023-10-31,0.007,0.879,0.114,0.9953,57.0
